record_date,parent_id,classification_id,classification_desc,current_month_gross_rcpt_amt,current_month_gross_outly_amt,current_month_dfct_sur_amt,table_nbr,src_line_nbr,print_order_nbr,line_code_nbr,data_type_cd,record_type_cd,sequence_level_nbr,sequence_number_cd,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
2024-11-30,55362643,55362648,November,301754299812.79,668517364180.86,366763064368.07,1,17,17,170,D,MTH,2,2.2,2025,1,2024,4,11,30
2024-11-30,55362643,55362650,Year-to-Date,628524535870.89,1252737943430.87,624213407559.98,1,18,18,280,T,SL,2,2.3,2025,1,2024,4,11,30
2024-12-31,55397612,55397617,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,1,2024,4,12,31
2024-12-31,55397612,55397620,November,301754299812.79,668517135060.47,366762835247.68,1,17,17,170,D,MTH,2,2.2,2025,1,2024,4,12,31
2024-12-31,55397612,55397624,December,454414708491.47,541146327504.76,86731619013.29,1,18,18,180,D,MTH,2,2.3,2025,1,2024,4,12,31
2024-12-31,55397612,55397627,Year-to-Date,1082939244362.36,1793883735590.54,710944491228.18,1,19,19,280,T,SL,2,2.4,2025,1,2024,4,12,31
2024-12-31,null,55397558,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,1,2024,4,12,31
2024-12-31,55397558,55397607,Year-to-Date,4918104214376.26,6750493399582.69,1832389185206.43,1,14,14,140,T,SL,2,1.13,2025,1,2024,4,12,31
2024-12-31,null,55397612,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,1,2024,4,12,31
2024-12-31,55397558,55397570,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,1,2024,4,12,31
2024-12-31,55397558,55397572,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,1,2024,4,12,31
2024-12-31,55397558,55397576,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,1,2024,4,12,31
2024-12-31,55397558,55397580,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,1,2024,4,12,31
2024-12-31,55397558,55397582,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,1,2024,4,12,31
2024-12-31,55397558,55397586,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,1,2024,4,12,31
2024-12-31,55397558,55397589,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,1,2024,4,12,31
2024-12-31,55397558,55397592,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,1,2024,4,12,31
2024-12-31,55397558,55397595,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,1,2024,4,12,31
2024-12-31,55397558,55397598,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,1,2024,4,12,31
2024-12-31,55397558,55397601,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,1,2024,4,12,31
2024-12-31,55397558,55397604,September,526988280615.09,462298467879.74,-64689812735.35,1,13,13,130,D,MTH,2,1.12,2025,1,2024,4,12,31
2025-01-31,null,55497018,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,2,2025,1,01,31
2025-01-31,55497018,55497079,Year-to-Date,4918104214376.26,6750493399582.69,1832389185206.43,1,14,14,140,T,SL,2,1.13,2025,2,2025,1,01,31
2025-01-31,null,55497084,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,2,2025,1,01,31
2025-01-31,55497084,55497091,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,2,2025,1,01,31
2025-01-31,55497084,55497094,November,301754299812.79,668517135060.47,366762835247.68,1,17,17,170,D,MTH,2,2.2,2025,2,2025,1,01,31
2025-01-31,55497084,55497097,December,454414708491.47,541146327504.76,86731619013.29,1,18,18,180,D,MTH,2,2.3,2025,2,2025,1,01,31
2025-01-31,55497084,55497100,January,513294342651.93,641934549325.42,128640206673.49,1,19,19,190,D,MTH,2,2.4,2025,2,2025,1,01,31
2025-01-31,55497084,55497103,Year-to-Date,1596233587014.29,2435818284915.96,839584697901.67,1,20,20,280,T,SL,2,2.5,2025,2,2025,1,01,31
2025-01-31,55497018,55497031,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,2,2025,1,01,31
2025-01-31,55497018,55497033,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,2,2025,1,01,31
2025-01-31,55497018,55497035,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,2,2025,1,01,31
2025-01-31,55497018,55497039,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,2,2025,1,01,31
2025-01-31,55497018,55497056,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,2,2025,1,01,31
2025-01-31,55497018,55497061,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,2,2025,1,01,31
2025-01-31,55497018,55497064,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,2,2025,1,01,31
2025-01-31,55497018,55497067,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,2,2025,1,01,31
2025-01-31,55497018,55497070,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,2,2025,1,01,31
2025-01-31,55497018,55497073,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,2,2025,1,01,31
2025-01-31,55497018,55497076,September,526988280615.09,462298467879.74,-64689812735.35,1,13,13,130,D,MTH,2,1.12,2025,2,2025,1,01,31
2025-01-31,55497018,55497037,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,2,2025,1,01,31
2025-02-28,null,55680874,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,2,2025,1,02,28
2025-02-28,55680874,55680904,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,2,2025,1,02,28
2025-02-28,55680874,55680908,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,2,2025,1,02,28
2025-02-28,55680874,55680912,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,2,2025,1,02,28
2025-02-28,55680874,55680915,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,2,2025,1,02,28
2025-02-28,55680874,55680918,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,2,2025,1,02,28
2025-02-28,55680874,55680921,September,526988280615.09,462298467879.74,-64689812735.35,1,13,13,130,D,MTH,2,1.12,2025,2,2025,1,02,28
2025-02-28,55680874,55680925,Year-to-Date,4918104214376.26,6750493399582.69,1832389185206.43,1,14,14,140,T,SL,2,1.13,2025,2,2025,1,02,28
2025-02-28,null,55680933,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,2,2025,1,02,28
2025-02-28,55680933,55680942,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,2,2025,1,02,28
2025-02-28,55680933,55680943,November,301754299812.79,668517135060.47,366762835247.68,1,17,17,170,D,MTH,2,2.2,2025,2,2025,1,02,28
2025-02-28,55680933,55680946,December,454414708491.47,541146327504.76,86731619013.29,1,18,18,180,D,MTH,2,2.3,2025,2,2025,1,02,28
2025-02-28,55680933,55680951,January,513294342651.93,641934549325.42,128640206673.49,1,19,19,190,D,MTH,2,2.4,2025,2,2025,1,02,28
2025-02-28,55680933,55680955,February,296423683822.57,603440878521.84,307017194699.27,1,20,20,200,D,MTH,2,2.5,2025,2,2025,1,02,28
2025-02-28,55680933,55680959,Year-to-Date,1892657270836.86,3039259163437.80,1146601892600.94,1,21,21,280,T,SL,2,2.6,2025,2,2025,1,02,28
2025-02-28,55680874,55680884,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,2,2025,1,02,28
2025-02-28,55680874,55680886,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,2,2025,1,02,28
2025-02-28,55680874,55680890,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,2,2025,1,02,28
2025-02-28,55680874,55680893,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,2,2025,1,02,28
2025-02-28,55680874,55680897,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,2,2025,1,02,28
2025-02-28,55680874,55680900,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,2,2025,1,02,28
2025-03-31,55872541,55872543,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,2,2025,1,03,31
2025-03-31,55872541,55872544,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,2,2025,1,03,31
2025-03-31,null,55872541,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,2,2025,1,03,31
2025-03-31,55872541,55872542,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,2,2025,1,03,31
2025-03-31,55872598,55872644,February,296423683822.57,603440881114.84,307017197292.27,1,20,20,200,D,MTH,2,2.5,2025,2,2025,1,03,31
2025-03-31,55872598,55872647,March,367635170990.32,528165492489.68,160530321499.36,1,21,21,210,D,MTH,2,2.6,2025,2,2025,1,03,31
2025-03-31,55872598,55872650,Year-to-Date,2260292441827.18,3567424658520.48,1307132216693.30,1,22,22,280,T,SL,2,2.7,2025,2,2025,1,03,31
2025-03-31,55872598,55872608,November,301754299812.79,668517135060.47,366762835247.68,1,17,17,170,D,MTH,2,2.2,2025,2,2025,1,03,31
2025-03-31,55872598,55872637,December,454414708491.47,541146327504.76,86731619013.29,1,18,18,180,D,MTH,2,2.3,2025,2,2025,1,03,31
2025-03-31,55872598,55872641,January,513294342651.93,641934549325.42,128640206673.49,1,19,19,190,D,MTH,2,2.4,2025,2,2025,1,03,31
2025-03-31,55872541,55872545,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,2,2025,1,03,31
2025-03-31,55872541,55872569,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,2,2025,1,03,31
2025-03-31,55872541,55872571,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,2,2025,1,03,31
2025-03-31,55872541,55872573,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,2,2025,1,03,31
2025-03-31,55872541,55872576,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,2,2025,1,03,31
2025-03-31,55872541,55872579,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,2,2025,1,03,31
2025-03-31,55872541,55872582,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,2,2025,1,03,31
2025-03-31,55872541,55872585,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,2,2025,1,03,31
2025-03-31,55872541,55872588,September,526988280615.09,462298467879.74,-64689812735.35,1,13,13,130,D,MTH,2,1.12,2025,2,2025,1,03,31
2025-03-31,null,55872598,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,2,2025,1,03,31
2025-03-31,55872541,55872590,Year-to-Date,4918104214376.26,6750493399582.69,1832389185206.43,1,14,14,140,T,SL,2,1.13,2025,2,2025,1,03,31
2025-03-31,55872598,55872605,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,2,2025,1,03,31
2025-04-30,56010432,56010452,April,850169317772.81,591769368657.85,-258399949114.96,1,22,22,220,D,MTH,2,2.7,2025,3,2025,2,04,30
2025-04-30,56010432,56010455,Year-to-Date,3110472019552.99,4159202287131.33,1048730267578.34,1,23,23,280,T,SL,2,2.8,2025,3,2025,2,04,30
2025-04-30,56010374,56010416,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,3,2025,2,04,30
2025-04-30,56010374,56010399,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,3,2025,2,04,30
2025-04-30,56010374,56010402,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,3,2025,2,04,30
2025-04-30,56010374,56010404,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,3,2025,2,04,30
2025-04-30,56010374,56010411,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,3,2025,2,04,30
2025-04-30,56010374,56010412,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,3,2025,2,04,30
2025-04-30,null,56010374,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,3,2025,2,04,30
2025-04-30,56010374,56010375,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,3,2025,2,04,30
2025-04-30,56010374,56010376,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,3,2025,2,04,30
2025-04-30,56010374,56010377,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,3,2025,2,04,30
2025-04-30,null,56010432,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,3,2025,2,04,30
2025-04-30,56010432,56010436,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,3,2025,2,04,30
2025-04-30,56010432,56010439,November,301754299812.79,668517135060.47,366762835247.68,1,17,17,170,D,MTH,2,2.2,2025,3,2025,2,04,30
2025-04-30,56010432,56010441,December,454414708491.47,541146327504.76,86731619013.29,1,18,18,180,D,MTH,2,2.3,2025,3,2025,2,04,30
2025-04-30,56010432,56010444,January,513294342651.93,641934549325.42,128640206673.49,1,19,19,190,D,MTH,2,2.4,2025,3,2025,2,04,30
2025-04-30,56010374,56010378,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,3,2025,2,04,30
2025-04-30,56010374,56010419,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,3,2025,2,04,30
2025-04-30,56010374,56010423,September,526989591753.68,462307395567.88,-64682196185.80,1,13,13,130,D,MTH,2,1.12,2025,3,2025,2,04,30
2025-04-30,56010374,56010427,Year-to-Date,4918105525514.85,6750502327270.83,1832396801755.98,1,14,14,140,T,SL,2,1.13,2025,3,2025,2,04,30
2025-04-30,56010432,56010446,February,296423683822.57,603440881114.84,307017197292.27,1,20,20,200,D,MTH,2,2.5,2025,3,2025,2,04,30
2025-04-30,56010432,56010450,March,367645430943.32,528173752442.68,160528321499.36,1,21,21,210,D,MTH,2,2.6,2025,3,2025,2,04,30
2025-05-31,56242421,56242441,November,274830035781.15,588842038068.24,314012002287.09,1,3,3,30,D,MTH,2,1.2,2025,3,2025,2,05,31
2025-05-31,56242421,56242444,December,429310654566.08,558664769130.32,129354114564.24,1,4,4,40,D,MTH,2,1.3,2025,3,2025,2,05,31
2025-05-31,56242421,56242446,January,477319655457.16,499250008026.88,21930352569.72,1,5,5,50,D,MTH,2,1.4,2025,3,2025,2,05,31
2025-05-31,56242421,56242449,February,271126068759.09,567400720600.28,296274651841.19,1,6,6,60,D,MTH,2,1.5,2025,3,2025,2,05,31
2025-05-31,null,56242421,FY 2024,null,null,null,1,1,1,10,S,SL,1,1,2025,3,2025,2,05,31
2025-05-31,56242421,56242435,October,403433540919.80,469997092049.53,66563551129.73,1,2,2,20,D,MTH,2,1.1,2025,3,2025,2,05,31
2025-05-31,56242421,56242453,March,332078814395.98,568634767671.20,236555953275.22,1,7,7,70,D,MTH,2,1.6,2025,3,2025,2,05,31
2025-05-31,56242421,56242456,April,776198093176.94,566668786551.61,-209529306625.33,1,8,8,80,D,MTH,2,1.7,2025,3,2025,2,05,31
2025-05-31,56242421,56242460,May,323646986978.40,670777880670.05,347130893691.65,1,9,9,90,D,MTH,2,1.8,2025,3,2025,2,05,31
2025-05-31,56242421,56242463,June,466254918407.16,537220210883.50,70965292476.34,1,10,10,100,D,MTH,2,1.9,2025,3,2025,2,05,31
2025-05-31,56242421,56242465,July,330377428300.09,574118515597.52,243741087297.43,1,11,11,110,D,MTH,2,1.10,2025,3,2025,2,05,31
2025-05-31,56242421,56242468,August,306539737019.32,686620142453.82,380080405434.50,1,12,12,120,D,MTH,2,1.11,2025,3,2025,2,05,31
2025-05-31,56242421,56242472,September,526989591753.68,462304398010.84,-64685193742.84,1,13,13,130,D,MTH,2,1.12,2025,3,2025,2,05,31
2025-05-31,56242421,56242476,Year-to-Date,4918105525514.85,6750499329713.79,1832393804198.94,1,14,14,140,T,SL,2,1.13,2025,3,2025,2,05,31
2025-05-31,null,56242483,FY 2025,null,null,null,1,15,15,150,S,SL,1,2,2025,3,2025,2,05,31
2025-05-31,56242483,56242490,October,326770236058.10,584220273025.31,257450036967.21,1,16,16,160,D,MTH,2,2.1,2025,3,2025,2,05,31
2025-05-31,56242483,56242493,November,301754299812.79,668517135060.47,366762835247.68,1,17,17,170,D,MTH,2,2.2,2025,3,2025,2,05,31
2025-05-31,56242483,56242496,December,454414708491.47,541146327504.76,86731619013.29,1,18,18,180,D,MTH,2,2.3,2025,3,2025,2,05,31
2025-05-31,56242483,56242498,January,513294342651.93,641934549325.42,128640206673.49,1,19,19,190,D,MTH,2,2.4,2025,3,2025,2,05,31
2025-05-31,56242483,56242501,February,296423683822.57,603440881114.84,307017197292.27,1,20,20,200,D,MTH,2,2.5,2025,3,2025,2,05,31
2025-05-31,56242483,56242504,March,367645430943.32,528173752442.68,160528321499.36,1,21,21,210,D,MTH,2,2.6,2025,3,2025,2,05,31
2025-05-31,56242483,56242507,April,850169317772.81,591769368657.85,-258399949114.96,1,22,22,220,D,MTH,2,2.7,2025,3,2025,2,05,31
2025-05-31,56242483,56242509,May,371228857110.76,687232618300.20,316003761189.44,1,23,23,230,D,MTH,2,2.8,2025,3,2025,2,05,31
2025-05-31,56242483,56242512,Year-to-Date,3481700876663.75,4846434905431.53,1364734028767.78,1,24,24,280,T,SL,2,2.9,2025,3,2025,2,05,31
